DATE,CPIEMEDCARE_PC1
01-12-1983,6.2
01-01-1984,6.13861
01-02-1984,6.07248
01-03-1984,6.15234
01-04-1984,6.13437
01-05-1984,6.21963
01-06-1984,6.20155
01-07-1984,6.26204
01-08-1984,6.02871
01-09-1984,6.01145
01-10-1984,6.07787
01-11-1984,6.14367
01-12-1984,6.12053
01-01-1985,5.87687
01-02-1985,5.54017
01-03-1985,5.79577
01-04-1985,5.9633
01-05-1985,6.12992
01-06-1985,6.38686
01-07-1985,6.34633
01-08-1985,6.58845
01-09-1985,6.75068
01-10-1985,6.71441
01-11-1985,6.85663
01-12-1985,6.92103
01-01-1986,7.13656
01-02-1986,7.52406
01-03-1986,7.73913
01-04-1986,7.87879
01-05-1986,7.84483
01-06-1986,7.89022
01-07-1986,8.01364
01-08-1986,7.95936
01-09-1986,8.01012
01-10-1986,8.13758
01-11-1986,8
01-12-1986,8.13278
01-01-1987,7.73026
01-02-1987,7.24166
01-03-1987,6.94108
01-04-1987,6.74157
01-05-1987,6.63469
01-06-1987,6.51828
01-07-1987,6.39305
01-08-1987,6.11765
01-09-1987,6.01093
01-10-1987,5.81846
01-11-1987,5.63272
01-12-1987,5.29547
01-01-1988,5.72519
01-02-1988,5.84219
01-03-1988,5.96226
01-04-1988,6.01504
01-05-1988,6.29685
01-06-1988,6.19403
01-07-1988,6.60237
01-08-1988,6.72579
01-09-1988,6.92194
01-10-1988,7.18475
01-11-1988,7.3046
01-12-1988,7.50729
01-01-1989,7.65343
01-02-1989,7.95699
01-03-1989,8.04843
01-04-1989,8.15603
01-05-1989,8.11001
01-06-1989,8.50316
01-07-1989,8.42032
01-08-1989,8.65651
01-09-1989,8.47107
01-10-1989,8.54993
01-11-1989,8.9857
01-12-1989,9.01695
01-01-1990,9.05433
01-02-1990,9.16335
01-03-1990,9.49242
01-04-1990,9.70492
01-05-1990,10.04566
01-06-1990,10.10363
01-07-1990,10.39795
01-08-1990,10.70746
01-09-1990,10.92063
01-10-1990,11.09011
01-11-1990,11.05559
01-12-1990,11.25622
01-01-1991,11.25461
01-02-1991,11.25304
01-03-1991,11.01746
01-04-1991,10.69934
01-05-1991,10.31417
01-06-1991,10.11765
01-07-1991,9.7093
01-08-1991,9.44157
01-09-1991,9.38752
01-10-1991,8.962
01-11-1991,8.66142
01-12-1991,8.49637
01-01-1992,8.29187
01-02-1992,8.2012
01-03-1992,8.02603
01-04-1992,7.93737
01-05-1992,7.79151
01-06-1992,7.53205
01-07-1992,7.36619
01-08-1992,6.99632
01-09-1992,6.80272
01-10-1992,6.87142
01-11-1992,6.78054
01-12-1992,6.59454
01-01-1993,6.58499
01-02-1993,6.36685
01-03-1993,6.0241
01-04-1993,6.05303
01-05-1993,6.33101
01-06-1993,6.30899
01-07-1993,6.21915
01-08-1993,6.19469
01-09-1993,6.12445
01-10-1993,6.03994
01-11-1993,5.81677
01-12-1993,5.70324
01-01-1994,5.45977
01-02-1994,5.32067
01-03-1994,5.30303
01-04-1994,5.37736
01-05-1994,5.06329
01-06-1994,5.04673
01-07-1994,5.11152
01-08-1994,5.13889
01-09-1994,5.17082
01-10-1994,5.23656
01-11-1994,5.26798
01-12-1994,5.44124
01-01-1995,5.40418
01-02-1995,5.32251
01-03-1995,5.26079
01-04-1995,4.96867
01-05-1995,4.81928
01-06-1995,4.67082
01-07-1995,4.42087
01-08-1995,4.35931
01-09-1995,4.25812
01-10-1995,4.05936
01-11-1995,4.00348
01-12-1995,3.81613
01-01-1996,3.79147
01-02-1996,3.64026
01-03-1996,3.54549
01-04-1996,3.4968
01-05-1996,3.49085
01-06-1996,3.44241
01-07-1996,3.4293
01-08-1996,3.29114
01-09-1996,3.11579
01-10-1996,3.02013
01-11-1996,2.92887
01-12-1996,2.71512
01-01-1997,2.61519
01-02-1997,2.47934
01-03-1997,2.55776
01-04-1997,2.5958
01-05-1997,2.63266
01-06-1997,2.62942
01-07-1997,2.41506
01-08-1997,2.36928
01-09-1997,2.36831
01-10-1997,2.28013
01-11-1997,2.31707
01-12-1997,2.68402
01-01-1998,2.589
01-02-1998,2.78226
01-03-1998,2.77554
01-04-1998,2.97189
01-05-1998,3.08617
01-06-1998,3.20256
01-07-1998,3.35731
01-08-1998,3.55148
01-09-1998,3.70961
01-10-1998,3.70223
01-11-1998,3.65515
01-12-1998,3.56436
01-01-1999,3.74606
01-02-1999,3.68772
01-03-1999,3.7182
01-04-1999,3.66615
01-05-1999,3.5381
01-06-1999,3.60745
01-07-1999,3.63496
01-08-1999,3.62235
01-09-1999,3.57692
01-10-1999,3.60845
01-11-1999,3.7179
01-12-1999,3.78585
01-01-2000,3.68681
01-02-2000,3.82142
01-03-2000,3.96226
01-04-2000,3.98796
01-05-2000,4.01802
01-06-2000,4.19319
01-07-2000,4.1791
01-08-2000,4.31387
01-09-2000,4.41886
01-10-2000,4.40904
01-11-2000,4.32373
01-12-2000,4.34783
01-01-2001,4.69208
01-02-2001,4.84694
01-03-2001,4.86388
01-04-2001,4.92041
01-05-2001,4.90975
01-06-2001,4.92275
01-07-2001,4.83524
01-08-2001,4.88414
01-09-2001,4.87198
01-10-2001,5.00355
01-11-2001,5.13638
01-12-2001,5.01412
01-01-2002,4.97199
01-02-2002,4.7619
01-03-2002,4.70751
01-04-2002,4.68966
01-05-2002,4.81762
01-06-2002,4.55479
01-07-2002,4.95388
01-08-2002,4.72468
01-09-2002,4.64564
01-10-2002,4.83271
01-11-2002,5.02022
01-12-2002,5.04371
01-01-2003,4.70314
01-02-2003,4.57863
01-03-2003,4.36364
01-04-2003,4.1502
01-05-2003,4.10374
01-06-2003,4.12709
01-07-2003,3.97135
01-08-2003,3.99221
01-09-2003,4.11536
01-10-2003,3.804
01-11-2003,3.62528
01-12-2003,3.80922
01-01-2004,3.85473
01-02-2004,4.21954
01-03-2004,4.52962
01-04-2004,4.64896
01-05-2004,4.63576
01-06-2004,4.71846
01-07-2004,4.53976
01-08-2004,4.43196
01-09-2004,4.38842
01-10-2004,4.50311
01-11-2004,4.39628
01-12-2004,4.22448
01-01-2005,4.23313
01-02-2005,4.29224
01-03-2005,4.18182
01-04-2005,4.14022
01-05-2005,4.12899
01-06-2005,3.99519
01-07-2005,4.07308
01-08-2005,3.85535
01-09-2005,3.78652
01-10-2005,3.92273
01-11-2005,4.27046
01-12-2005,4.08284
01-01-2006,3.85521
01-02-2006,3.8237
01-03-2006,3.95579
01-04-2006,4.00464
01-05-2006,3.99421
01-06-2006,3.89948
01-07-2006,3.82734
01-08-2006,4.05755
01-09-2006,4.02183
01-10-2006,3.77466
01-11-2006,3.38453
01-12-2006,3.29733
01-01-2007,4.03825
01-02-2007,4.01462
01-03-2007,3.70425
01-04-2007,3.71987
01-05-2007,3.65321
01-06-2007,3.65666
01-07-2007,3.96591
01-08-2007,4.08158
01-09-2007,4.14085
01-10-2007,4.4668
01-11-2007,4.7337
01-12-2007,4.94194
01-01-2008,4.69398
01-02-2008,4.37889
01-03-2008,4.41616
01-04-2008,4.15622
01-05-2008,3.99596
01-06-2008,3.96161
01-07-2008,3.435
01-08-2008,3.21581
01-09-2008,3.16181
01-10-2008,2.81897
01-11-2008,2.62827
01-12-2008,2.60017
01-01-2009,2.55759
01-02-2009,2.74612
01-03-2009,2.74207
01-04-2009,2.96811
01-05-2009,3.15744
01-06-2009,3.10713
01-07-2009,3.16268
01-08-2009,3.27934
01-09-2009,3.44407
01-10-2009,3.45564
01-11-2009,3.43935
01-12-2009,3.27672
01-01-2010,3.37962
01-02-2010,3.4971
01-03-2010,3.59993
01-04-2010,3.46499
01-05-2010,3.28655
01-06-2010,3.39182
01-07-2010,3.20013
01-08-2010,3.12188
01-09-2010,3.33288
01-10-2010,3.25516
01-11-2010,3.14981
01-12-2010,3.24923
01-01-2011,2.89739
01-02-2011,2.93745
01-03-2011,2.80385
01-04-2011,2.92372
01-05-2011,3.04531
01-06-2011,2.99257
01-07-2011,3.21661
01-08-2011,3.20671
01-09-2011,2.8685
01-10-2011,3.11772
01-11-2011,3.30502
01-12-2011,3.42356
01-01-2012,3.47636
01-02-2012,3.25342
01-03-2012,3.27451
01-04-2012,3.2272
01-05-2012,3.32451
01-06-2012,3.5452
01-07-2012,3.69827
01-08-2012,3.61317
01-09-2012,3.62053
01-10-2012,3.32273
01-11-2012,2.98217
01-12-2012,2.76123
01-01-2013,2.71084
01-02-2013,2.65924
01-03-2013,2.66857
01-04-2013,2.37194
01-05-2013,1.88087
01-06-2013,1.88641
01-07-2013,1.66218
01-08-2013,2.05144
01-09-2013,2.07832
01-10-2013,2.02663
01-11-2013,1.9815
01-12-2013,1.78249
01-01-2014,1.85242
01-02-2014,2.07661
01-03-2014,2.01527
01-04-2014,2.28489
01-05-2014,2.74107
01-06-2014,2.55284
01-07-2014,2.57832
01-08-2014,2.09215
01-09-2014,2.05347
01-10-2014,2.13395
01-11-2014,2.54704
01-12-2014,3.07137
01-01-2015,2.75541
01-02-2015,2.36888
01-03-2015,2.50355
01-04-2015,2.89652
01-05-2015,2.81188
01-06-2015,2.53251
01-07-2015,2.53672
01-08-2015,2.54392
01-09-2015,2.49467
01-10-2015,2.91958
01-11-2015,2.88631
01-12-2015,2.53079
01-01-2016,2.95336
01-02-2016,3.47376
01-03-2016,3.26981
01-04-2016,2.99458
01-05-2016,3.06532
01-06-2016,3.42227
01-07-2016,3.77293
01-08-2016,4.71472
01-09-2016,4.76457
01-10-2016,4.24032
01-11-2016,3.94449
01-12-2016,4.01582
01-01-2017,3.81111
01-02-2017,3.50534
01-03-2017,3.40406
01-04-2017,2.82238
01-05-2017,2.58735
01-06-2017,2.58852
01-07-2017,2.47819
01-08-2017,1.78804
01-09-2017,1.50702
01-10-2017,1.61342
01-11-2017,1.61284
01-12-2017,1.73386
01-01-2018,1.9385
01-02-2018,1.70637
01-03-2018,1.95594
01-04-2018,2.22536
01-05-2018,2.44449
01-06-2018,2.48049
01-07-2018,1.93314
01-08-2018,1.59923
01-09-2018,1.74315
01-10-2018,1.65427
01-11-2018,1.94457
01-12-2018,1.81903
01-01-2019,1.65862
01-02-2019,1.4407
01-03-2019,1.37518
01-04-2019,1.56246
01-05-2019,1.62039
01-06-2019,1.46376
01-07-2019,2.0077
01-08-2019,2.69272
01-09-2019,2.73114
01-10-2019,3.50456
01-11-2019,3.43193
01-12-2019,3.85619
01-01-2020,3.72341
01-02-2020,3.89213
01-03-2020,3.99279
01-04-2020,3.99023
01-05-2020,3.98358
01-06-2020,4.15226
01-07-2020,4.09916
01-08-2020,3.53015
01-09-2020,3.32996
01-10-2020,2.20742
01-11-2020,1.81878
01-12-2020,1.19782
01-01-2021,1.53287
01-02-2021,1.68163
01-03-2021,1.52841
01-04-2021,1.37733
01-05-2021,1.00907
01-06-2021,0.62786
01-07-2021,0.56561
01-08-2021,0.77784
01-09-2021,0.86412
01-10-2021,1.57797
01-11-2021,1.88073
01-12-2021,2.20325
01-01-2022,2.36402
01-02-2022,2.19557
01-03-2022,2.52813
01-04-2022,2.80969
01-05-2022,3.23056
01-06-2022,3.9285
01-07-2022,4.15369
01-08-2022,4.5847
